#,,,,,
# LHS design points generated in Python,,,,,
# The parameters defined in the project are:,,,,,
#           P1 - length P2 - width P3 - thickness P4 - height,,,,,
#,,,,,
# The following header line defines the name of the columns by reference to the parameters.,,,,,
Name,P1,P2,P3,P4,
DP 528,0.020957,0.029496,0.003902,0.02883,
DP 529,0.052999,0.020343,0.003212,0.032302,
DP 530,0.024217,0.044826,0.002692,0.04158,
DP 531,0.058925,0.026469,0.004703,0.034334,
DP 532,0.035168,0.043758,0.003945,0.033422,
DP 533,0.042391,0.038382,0.003484,0.039844,
DP 534,0.052675,0.022904,0.004015,0.031902,
DP 535,0.03458,0.049778,0.003745,0.035869,
DP 536,0.036216,0.022244,0.004184,0.036759,
DP 537,0.04893,0.034652,0.003912,0.049378,
DP 538,0.051275,0.044903,0.00307,0.021315,
DP 539,0.030524,0.037473,0.004938,0.035033,
DP 540,0.053864,0.028853,0.002881,0.029778,
DP 541,0.055914,0.041439,0.004716,0.045916,
DP 542,0.051709,0.023017,0.002786,0.034612,
DP 543,0.020667,0.04634,0.003404,0.043808,
DP 544,0.032947,0.047834,0.003876,0.031932,
DP 545,0.030309,0.047449,0.004196,0.035995,
DP 546,0.034505,0.022167,0.004187,0.022532,
DP 547,0.038103,0.030416,0.002603,0.021187,
DP 548,0.029806,0.020205,0.003507,0.04173,
DP 549,0.033238,0.02912,0.003402,0.025425,
DP 550,0.04942,0.040623,0.004006,0.045787,
DP 551,0.046238,0.028083,0.002871,0.029674,
DP 552,0.034981,0.039134,0.00256,0.027433,
DP 553,0.024466,0.041914,0.003607,0.021825,
DP 554,0.040271,0.022037,0.003494,0.041265,
DP 555,0.029455,0.026226,0.003459,0.040442,
DP 556,0.03389,0.030991,0.004328,0.022446,
DP 557,0.057699,0.031495,0.004111,0.028081,
DP 558,0.034662,0.033622,0.004811,0.032315,
DP 559,0.034247,0.028782,0.004283,0.042464,
DP 560,0.042653,0.030825,0.004031,0.038129,
DP 561,0.045454,0.028269,0.003083,0.020909,
DP 562,0.044442,0.032333,0.002783,0.041663,
DP 563,0.05658,0.0266,0.003132,0.024189,
DP 564,0.034303,0.049869,0.004842,0.044089,
DP 565,0.049715,0.04238,0.004639,0.036824,
DP 566,0.052066,0.040858,0.00367,0.04281,
DP 567,0.027599,0.033315,0.004765,0.025324,
DP 568,0.043597,0.037902,0.003923,0.02593,
DP 569,0.03763,0.04913,0.004314,0.020047,
DP 570,0.021176,0.033787,0.00349,0.042217,
DP 571,0.042381,0.03179,0.002995,0.036629,
DP 572,0.055531,0.030507,0.00331,0.024596,
DP 573,0.030823,0.0323,0.004996,0.035516,
DP 574,0.052196,0.030171,0.00292,0.034975,
DP 575,0.024738,0.04556,0.003096,0.043845,
DP 576,0.037865,0.02692,0.004088,0.035847,
DP 577,0.024156,0.036659,0.004911,0.038894,
DP 578,0.051752,0.041649,0.002812,0.045507,
DP 579,0.03544,0.031146,0.004286,0.03783,
DP 580,0.033562,0.023756,0.003298,0.03117,
DP 581,0.028494,0.030207,0.004663,0.046166,
DP 582,0.055974,0.022086,0.004312,0.037056,
DP 583,0.047962,0.027685,0.004772,0.024735,
DP 584,0.031546,0.041711,0.004352,0.025273,
DP 585,0.030153,0.034446,0.004762,0.028369,
DP 586,0.039185,0.033963,0.002851,0.02773,
DP 587,0.031904,0.023551,0.002756,0.030798,
DP 588,0.049506,0.023878,0.002927,0.038731,
DP 589,0.049909,0.042914,0.004963,0.02896,
DP 590,0.020514,0.027964,0.003441,0.0269,
DP 591,0.02282,0.042804,0.004186,0.032813,
DP 592,0.030052,0.030327,0.003821,0.03992,
DP 593,0.050239,0.040784,0.004229,0.049684,
DP 594,0.034029,0.047324,0.003336,0.024252,
DP 595,0.059087,0.038095,0.004534,0.046138,
DP 596,0.02294,0.021181,0.003644,0.034136,
DP 597,0.025437,0.043687,0.00451,0.038526,
DP 598,0.028949,0.021931,0.003751,0.03569,
DP 599,0.056126,0.023166,0.004574,0.039257,
DP 600,0.025076,0.036076,0.004739,0.040349,
DP 601,0.051135,0.049198,0.004461,0.038507,
DP 602,0.024123,0.03083,0.003829,0.043966,
DP 603,0.050372,0.026809,0.003677,0.045755,
DP 604,0.04284,0.025223,0.003339,0.031554,
DP 605,0.054661,0.024648,0.004558,0.033376,
DP 606,0.036464,0.028009,0.004319,0.037804,
DP 607,0.035787,0.028422,0.003262,0.041768,
DP 608,0.047145,0.023954,0.004099,0.034864,
DP 609,0.050732,0.027218,0.003203,0.041181,
DP 610,0.026345,0.048374,0.004755,0.039637,
DP 611,0.047058,0.028877,0.002804,0.04209,
DP 612,0.052939,0.038738,0.003627,0.043251,
DP 613,0.056706,0.035111,0.004179,0.028499,
DP 614,0.023558,0.029617,0.003195,0.034809,
DP 615,0.024695,0.049597,0.004934,0.0456,
DP 616,0.037139,0.032871,0.002903,0.02798,
DP 617,0.022594,0.045988,0.003964,0.047453,
DP 618,0.051599,0.02712,0.004048,0.043447,
DP 619,0.039074,0.020924,0.003266,0.044347,
DP 620,0.053034,0.036923,0.00487,0.038023,
DP 621,0.028146,0.041883,0.003498,0.036662,
DP 622,0.056868,0.032013,0.004431,0.029331,
DP 623,0.046848,0.040382,0.002957,0.025361,
DP 624,0.050687,0.034303,0.003776,0.022603,
DP 625,0.028366,0.047528,0.003408,0.026799,
DP 626,0.037321,0.023067,0.003997,0.03645,
DP 627,0.052481,0.047392,0.003766,0.027882,
DP 628,0.039029,0.037997,0.003721,0.03004,
DP 629,0.042476,0.025613,0.00428,0.022889,
DP 630,0.053418,0.033084,0.004827,0.025151,
DP 631,0.052326,0.039995,0.003247,0.0309,
DP 632,0.022996,0.048978,0.003742,0.047392,
DP 633,0.026957,0.024551,0.00429,0.048187,
DP 634,0.057205,0.047642,0.003718,0.020224,
DP 635,0.04508,0.022709,0.004657,0.049543,
DP 636,0.029309,0.020677,0.003632,0.029029,
DP 637,0.031158,0.0273,0.004496,0.0475,
DP 638,0.027557,0.03914,0.002775,0.035252,
DP 639,0.027355,0.032163,0.004415,0.023102,
DP 640,0.038133,0.040011,0.004073,0.041603,
DP 641,0.034409,0.023573,0.002557,0.047997,
DP 642,0.047556,0.024759,0.00319,0.030326,
DP 643,0.027276,0.036213,0.00309,0.024358,
DP 644,0.056612,0.031591,0.003376,0.023485,
DP 645,0.040826,0.041109,0.002655,0.047442,
DP 646,0.025379,0.033743,0.003804,0.020098,
DP 647,0.042554,0.026572,0.004673,0.028762,
DP 648,0.032108,0.02172,0.00458,0.034727,
DP 649,0.035766,0.046572,0.003871,0.03376,
DP 650,0.057176,0.04146,0.004096,0.039215,
DP 651,0.022803,0.049478,0.004777,0.038095,
DP 652,0.029119,0.022815,0.002673,0.036489,
DP 653,0.055472,0.03956,0.003057,0.0415,
DP 654,0.041324,0.036384,0.003245,0.039107,
DP 655,0.044603,0.044863,0.002511,0.049761,
DP 656,0.045537,0.044985,0.004392,0.047333,
DP 657,0.043987,0.020405,0.002618,0.047086,
DP 658,0.035316,0.023599,0.004705,0.020675,
DP 659,0.025128,0.046165,0.003164,0.045959,
DP 660,0.037576,0.028353,0.004024,0.046487,
DP 661,0.022194,0.047901,0.002564,0.033903,
DP 662,0.046866,0.045212,0.003931,0.027537,
DP 663,0.039779,0.044388,0.00295,0.032899,
DP 664,0.020717,0.038843,0.004732,0.043061,
DP 665,0.055042,0.040607,0.004525,0.022509,
DP 666,0.056943,0.04011,0.002745,0.036963,
DP 667,0.048617,0.036122,0.003978,0.048398,
DP 668,0.031844,0.040225,0.004895,0.049121,
DP 669,0.028208,0.027006,0.004986,0.029816,
DP 670,0.039411,0.048005,0.004255,0.034152,
DP 671,0.033734,0.040457,0.00485,0.048356,
DP 672,0.057414,0.025982,0.003624,0.044504,
DP 673,0.03858,0.043828,0.004799,0.03296,
DP 674,0.030353,0.043102,0.00453,0.021004,
DP 675,0.041118,0.04174,0.004002,0.023213,
DP 676,0.024427,0.027742,0.003124,0.028613,
DP 677,0.026015,0.031219,0.00392,0.027923,
DP 678,0.038839,0.035892,0.00425,0.033716,
DP 679,0.050919,0.037587,0.003356,0.037981,
DP 680,0.038321,0.033386,0.003206,0.028124,
DP 681,0.050613,0.048078,0.003814,0.036202,
DP 682,0.041177,0.041659,0.004796,0.033576,
DP 683,0.059147,0.043885,0.004884,0.02995,
DP 684,0.024038,0.035637,0.003532,0.044877,
DP 685,0.058892,0.046592,0.002528,0.025112,
DP 686,0.045914,0.041076,0.002841,0.035545,
DP 687,0.045219,0.025826,0.003146,0.031803,
DP 688,0.059961,0.036273,0.003066,0.047593,
DP 689,0.024282,0.027424,0.002863,0.024465,
DP 690,0.055142,0.025003,0.00406,0.043713,
DP 691,0.044227,0.040243,0.003223,0.030942,
DP 692,0.049295,0.045759,0.002637,0.033386,
DP 693,0.056465,0.028826,0.004719,0.035815,
DP 694,0.033625,0.046672,0.003476,0.021788,
DP 695,0.053742,0.03279,0.00482,0.033126,
DP 696,0.040726,0.02108,0.003033,0.023671,
DP 697,0.043037,0.021745,0.003673,0.040273,
DP 698,0.025621,0.034862,0.002681,0.034014,
DP 699,0.0465,0.038333,0.003826,0.033939,
DP 700,0.041012,0.03988,0.002799,0.044462,
DP 701,0.044684,0.046854,0.003131,0.042561,
DP 702,0.023256,0.042477,0.004902,0.048625,
DP 703,0.02498,0.026723,0.003218,0.033222,
DP 704,0.052539,0.020945,0.00318,0.02183,
DP 705,0.024079,0.02139,0.004371,0.023243,
DP 706,0.050989,0.022871,0.002734,0.038372,
DP 707,0.047917,0.030595,0.003761,0.04426,
DP 708,0.042002,0.038627,0.004443,0.02915,
DP 709,0.033028,0.047611,0.00439,0.021619,
DP 710,0.05201,0.045157,0.004887,0.02944,
DP 711,0.028128,0.021635,0.003169,0.024239,
DP 712,0.03693,0.04678,0.002657,0.044158,
DP 713,0.02433,0.028058,0.004943,0.047174,
DP 714,0.049533,0.021882,0.003779,0.02726,
DP 715,0.051429,0.042637,0.003422,0.037617,
DP 716,0.052165,0.028651,0.002551,0.035188,
DP 717,0.049337,0.020895,0.004984,0.037432,
DP 718,0.050528,0.040922,0.003689,0.042268,
DP 719,0.032033,0.043917,0.003162,0.032724,
DP 720,0.055901,0.040824,0.00326,0.021954,
DP 721,0.048343,0.029682,0.003552,0.02414,
DP 722,0.039627,0.033065,0.003258,0.045621,
DP 723,0.027788,0.035427,0.003437,0.022169,
DP 724,0.022622,0.030924,0.002717,0.049848,
DP 725,0.04881,0.045416,0.002709,0.037,
DP 726,0.040534,0.02115,0.002856,0.030481,
DP 727,0.030624,0.043774,0.004817,0.022995,
DP 728,0.033769,0.021287,0.003631,0.029995,
DP 729,0.023759,0.032384,0.003554,0.035458,
DP 730,0.05108,0.032379,0.002577,0.042873,
DP 731,0.033836,0.046256,0.004262,0.02029,
DP 732,0.022052,0.021321,0.003918,0.02782,
DP 733,0.055376,0.034487,0.004645,0.04688,
DP 734,0.05787,0.031032,0.003657,0.022207,
DP 735,0.031909,0.022406,0.003512,0.046787,
DP 736,0.023987,0.024848,0.00391,0.041352,
DP 737,0.037979,0.022108,0.00379,0.044111,
DP 738,0.022338,0.045244,0.003898,0.045713,
DP 739,0.058246,0.027586,0.002781,0.038762,
DP 740,0.033067,0.041967,0.004215,0.020738,
DP 741,0.047436,0.044705,0.003835,0.042059,
DP 742,0.040295,0.041373,0.003349,0.047253,
DP 743,0.05158,0.030451,0.004145,0.023765,
DP 744,0.04843,0.037286,0.003785,0.045315,
DP 745,0.022271,0.043025,0.003936,0.020772,
DP 746,0.020641,0.047888,0.003563,0.028705,
DP 747,0.021694,0.02922,0.004446,0.021661,
DP 748,0.026698,0.034119,0.004628,0.029501,
DP 749,0.049947,0.027407,0.002523,0.039204,
DP 750,0.046077,0.020462,0.002505,0.036319,
DP 751,0.025697,0.047353,0.003274,0.045134,
DP 752,0.03264,0.029629,0.00364,0.0479,
DP 753,0.036241,0.044941,0.004249,0.026493,
DP 754,0.058623,0.038238,0.0031,0.02044,
DP 755,0.048534,0.04963,0.004438,0.03698,
DP 756,0.055204,0.048926,0.003962,0.046729,
DP 757,0.031604,0.032746,0.003492,0.039101,
DP 758,0.025965,0.041027,0.004917,0.045148,
DP 759,0.042178,0.046724,0.003847,0.040185,
DP 760,0.030971,0.04852,0.003038,0.035571,
DP 761,0.053161,0.023277,0.002846,0.044426,
DP 762,0.058992,0.03106,0.004699,0.022721,
DP 763,0.049625,0.021214,0.0038,0.045983,
DP 764,0.036799,0.031822,0.004617,0.037922,
DP 765,0.041858,0.044847,0.004833,0.027211,
DP 766,0.041638,0.046743,0.004436,0.020132,
DP 767,0.049116,0.038916,0.003859,0.023967,
DP 768,0.029204,0.038941,0.003986,0.040038,
DP 769,0.044168,0.028324,0.004947,0.035784,
DP 770,0.040633,0.04272,0.003616,0.042111,
DP 771,0.039919,0.023437,0.00262,0.040846,
DP 772,0.040756,0.03183,0.002972,0.024037,
DP 773,0.039133,0.035208,0.004591,0.032412,
DP 774,0.043444,0.043504,0.004962,0.023649,
DP 775,0.046945,0.032442,0.004629,0.027698,
DP 776,0.05312,0.024218,0.004651,0.027116,
DP 777,0.043394,0.023968,0.00345,0.029853,
DP 778,0.022404,0.023081,0.004502,0.033082,
DP 779,0.026062,0.030115,0.004999,0.028301,
DP 780,0.027441,0.024506,0.003522,0.021364,
DP 781,0.037922,0.037786,0.002915,0.028065,
DP 782,0.028658,0.020761,0.003869,0.033728,
DP 783,0.047122,0.039343,0.002731,0.031353,
DP 784,0.031455,0.049412,0.003423,0.037711,
DP 785,0.0364,0.023649,0.004402,0.039343,
DP 786,0.029755,0.03153,0.003889,0.022906,
DP 787,0.056328,0.03189,0.00256,0.042324,
DP 788,0.055432,0.045341,0.003186,0.020264,
DP 789,0.059767,0.033239,0.003767,0.039472,
DP 790,0.036599,0.044484,0.003433,0.02032,
DP 791,0.023099,0.036045,0.003011,0.028028,
DP 792,0.046479,0.026876,0.004221,0.028735,
DP 793,0.056979,0.048138,0.002521,0.03755,
DP 794,0.035868,0.046884,0.004055,0.025534,
DP 795,0.047635,0.047164,0.004588,0.020546,
DP 796,0.05379,0.030411,0.003317,0.024108,
DP 797,0.047534,0.032645,0.004775,0.039413,
DP 798,0.024572,0.028459,0.004863,0.045262,
DP 799,0.049446,0.036169,0.003982,0.027278,
DP 800,0.045804,0.030037,0.003086,0.033978,
DP 801,0.028279,0.042503,0.003391,0.031894,
DP 802,0.02988,0.029066,0.003074,0.026252,
DP 803,0.052423,0.044531,0.003698,0.048319,
DP 804,0.032443,0.048517,0.002508,0.028989,
DP 805,0.038792,0.029386,0.00336,0.023459,
DP 806,0.021465,0.042972,0.00286,0.037131,
DP 807,0.059373,0.03719,0.003487,0.0301,
DP 808,0.039838,0.048893,0.002887,0.020168,
DP 809,0.02483,0.036645,0.002737,0.047679,
DP 810,0.048464,0.030946,0.004566,0.042403,
DP 811,0.021788,0.025429,0.002832,0.04849,
DP 812,0.037155,0.026018,0.003509,0.040912,
DP 813,0.030608,0.039742,0.003741,0.030421,
DP 814,0.054202,0.021541,0.002935,0.02855,
DP 815,0.030571,0.037424,0.002965,0.043639,
DP 816,0.027755,0.035165,0.00327,0.031629,
DP 817,0.029473,0.020719,0.002566,0.032152,
DP 818,0.039235,0.021424,0.00384,0.030592,
DP 819,0.049265,0.039051,0.003062,0.026238,
DP 820,0.047188,0.036999,0.003209,0.030307,
DP 821,0.02652,0.025323,0.00282,0.048917,
DP 822,0.054754,0.026847,0.004976,0.027079,
DP 823,0.022686,0.035604,0.004168,0.02238,
DP 824,0.053666,0.049535,0.003881,0.044999,
DP 825,0.034715,0.049299,0.002542,0.026517,
DP 826,0.021576,0.030378,0.00479,0.043896,
DP 827,0.05726,0.040342,0.003362,0.025623,
DP 828,0.044848,0.037393,0.002792,0.026963,
DP 829,0.049759,0.03079,0.004069,0.030127,
DP 830,0.054896,0.025778,0.003481,0.025076,
DP 831,0.023788,0.024729,0.003559,0.029453,
DP 832,0.048115,0.045027,0.003704,0.03168,
DP 833,0.048734,0.036543,0.004505,0.048436,
DP 834,0.032849,0.024039,0.003241,0.022948,
DP 835,0.020812,0.022316,0.004152,0.030652,
DP 836,0.049586,0.048287,0.004483,0.034635,
DP 837,0.029528,0.039262,0.004488,0.049513,
DP 838,0.045607,0.029437,0.003341,0.027677,
DP 839,0.020296,0.047121,0.004659,0.04846,
DP 840,0.046744,0.039919,0.003938,0.037152,
DP 841,0.032537,0.046644,0.003173,0.025805,
DP 842,0.045143,0.032226,0.004164,0.042792,
DP 843,0.05803,0.029029,0.003582,0.041882,
DP 844,0.045885,0.049003,0.002703,0.043381,
DP 845,0.037458,0.032694,0.004601,0.045843,
DP 846,0.054611,0.046528,0.004358,0.021519,
DP 847,0.05621,0.021129,0.003692,0.025838,
DP 848,0.021518,0.031999,0.003863,0.024485,
DP 849,0.020043,0.040169,0.003397,0.04315,
DP 850,0.031123,0.047971,0.00422,0.034279,
DP 851,0.04258,0.032041,0.002835,0.036922,
DP 852,0.029172,0.040583,0.002808,0.031857,
DP 853,0.059425,0.021274,0.003597,0.024647,
DP 854,0.036753,0.035731,0.004868,0.026591,
DP 855,0.055225,0.049264,0.003877,0.037262,
DP 856,0.021142,0.048706,0.002796,0.024797,
DP 857,0.02713,0.02811,0.00259,0.046464,
DP 858,0.025794,0.025578,0.002744,0.030774,
DP 859,0.057134,0.020506,0.003759,0.03591,
DP 860,0.058379,0.031718,0.00402,0.035332,
DP 861,0.024373,0.03485,0.002806,0.047698,
DP 862,0.059847,0.029316,0.004512,0.022739,
DP 863,0.02354,0.038447,0.004853,0.023594,
DP 864,0.051497,0.038796,0.003345,0.038593,
DP 865,0.042324,0.020007,0.004103,0.035059,
DP 866,0.029391,0.038559,0.004306,0.04299,
DP 867,0.050147,0.035691,0.004858,0.049329,
DP 868,0.041814,0.049503,0.004544,0.038571,
DP 869,0.059778,0.030176,0.003152,0.039567,
